#Pose estimation of object wrt camera. X forward, Y left, Z up
#time in seconds since epoch,position(x), position(y), position(z), q_x, q_y, q_z, q_w 

1407270146.3254578114,0.000900826,0.00788655,0.366138,0.0307991,-0.0593629,-0.997711,0.00997242
1407270146.3674216270,0.000897085,0.00785396,0.366081,0.03088,-0.0593208,-0.997711,0.00997242
1407270146.4081387520,0.00108417,0.00750614,0.366138,0.0299769,-0.0574901,-0.997839,0.0106541
1407270146.4447224140,0.00121749,0.0072822,0.366238,0.0293669,-0.0562736,-0.99793,0.0103148
1407270146.4872789383,0.0008019,0.00797656,0.366178,0.0313166,-0.0598603,-0.997666,0.00997196
1407270146.5339605808,0.000998782,0.00761743,0.366175,0.0303904,-0.0580417,-0.997798,0.0103135
1407270146.5795741081,0.000801073,0.00796771,0.366086,0.0313574,-0.0598389,-0.997666,0.00997196
1407270146.6050558090,0.00105704,0.00748804,0.36612,0.0301336,-0.0574082,-0.997839,0.0106541
1407270146.6536674500,0.00124907,0.00715254,0.366275,0.0291849,-0.0556009,-0.99797,0.0106555
1407270146.6969459057,0.00118013,0.00727091,0.366267,0.0295203,-0.0561933,-0.99793,0.0103148
1407270146.7301166058,0.00101202,0.00756299,0.366213,0.0303113,-0.057699,-0.99782,0.0103137
1407270146.7595894337,0.000915133,0.00772697,0.366125,0.0307859,-0.0586024,-0.997753,0.010313
1407270146.7948403358,0.000939044,0.00769866,0.366098,0.0307068,-0.0584519,-0.997765,0.0103131
1407270146.8364958763,0.000957775,0.00765885,0.366073,0.0306476,-0.0582909,-0.997776,0.0103132
1407270146.8828122616,0.00111367,0.00737595,0.366225,0.0298561,-0.0567854,-0.997887,0.0103144
1407270146.9228954315,0.000913393,0.00772706,0.36612,0.0308059,-0.0585919,-0.997753,0.010313
1407270146.9622232914,0.000979916,0.00760458,0.366169,0.0304893,-0.0579898,-0.997798,0.0103135
1407270147.0021131039,0.0010851,0.0074345,0.366179,0.0300144,-0.0570865,-0.997865,0.0103141
1407270147.0382578373,0.00105763,0.00749445,0.366163,0.0301727,-0.0573876,-0.997843,0.0103139
