#Pose estimation of object wrt camera. X forward, Y left, Z up
#time in seconds since epoch,position(x), position(y), position(z), q_x, q_y, q_z, q_w 

1407270153.2904293537,0.000780717,0.00693117,0.366266,0.0316494,-0.0544327,-0.997962,0.0103151
1407270153.3494327068,0.000613542,0.00721226,0.366188,0.0325044,-0.0559032,-0.997854,0.010314
1407270153.3979365826,0.000654689,0.00715191,0.366173,0.0323334,-0.0556091,-0.997876,0.0103143
1407270153.4550936222,0.000536936,0.00732294,0.366146,0.0328464,-0.0564913,-0.997809,0.0103136
1407270153.5000419617,0.000552339,0.00731735,0.366112,0.0328464,-0.0564913,-0.997809,0.0103136
1407270153.5396304131,0.000637732,0.00718,0.36616,0.0324189,-0.0557562,-0.997865,0.0103141
1407270153.5874245167,0.000651999,0.00715577,0.366169,0.0323334,-0.0556091,-0.997876,0.0103143
1407270153.6391706467,0.000539484,0.00732101,0.366139,0.0328464,-0.0564913,-0.997809,0.0103136
1407270153.6803326607,0.000532542,0.00734649,0.366117,0.0329318,-0.0566384,-0.997798,0.0103135
1407270153.7330765724,0.000545155,0.00734751,0.36607,0.0329318,-0.0566384,-0.997798,0.0103135
1407270153.7865719795,0.000466801,0.00746222,0.366069,0.0332738,-0.0572265,-0.997753,0.010313
1407270153.8254485130,0.000487489,0.00739808,0.366129,0.0331028,-0.0569324,-0.997776,0.0103132
1407270153.8745472431,0.000596156,0.00723091,0.366163,0.0325899,-0.0560502,-0.997843,0.0103139
1407270153.9160928726,0.000562838,0.00729162,0.36615,0.0327609,-0.0563443,-0.99782,0.0103137
1407270153.9526884556,0.000560439,0.0072939,0.366148,0.0327609,-0.0563443,-0.99782,0.0103137
1407270153.9985401630,0.000459291,0.00746064,0.366135,0.0332738,-0.0572265,-0.997753,0.010313
1407270154.0479614735,0.000479025,0.00743394,0.366089,0.0331883,-0.0570794,-0.997765,0.0103131
1407270154.1097209454,0.000581042,0.00725729,0.366144,0.0326754,-0.0561973,-0.997832,0.0103138
1407270154.1577272415,0.000362823,0.0076024,0.366104,0.0337012,-0.0579616,-0.997697,0.0103124
1407270154.2003591061,0.000394536,0.00756188,0.366045,0.0336256,-0.0578088,-0.99771,0.0101425
1407270154.2451128960,0.000603537,0.00722955,0.366155,0.0325994,-0.0560447,-0.997844,0.0101438
1407270154.3189043999,0.000449233,0.00746231,0.366167,0.0332835,-0.0572208,-0.997755,0.0101429
